,Algorithm,Dataset,alpha,Coverage,Length
357,cox_cc_alg_2,support,0.8,0.9845,1924.91554
358,cox_cc_alg_2,support,0.8,0.9856999999999999,1943.4471399999998
359,cox_cc_alg_2,support,0.8,0.9554,1844.5876900000003
360,cox_ph_alg_1,rr_nl_nph,0.9,0.8567999999999999,17.389946544789915
361,cox_ph_alg_1,rr_nl_nph,0.9,0.8617,18.408246544789918
362,cox_ph_alg_1,rr_nl_nph,0.9,0.8588,17.969026544789916
363,cox_ph_alg_1,rr_nl_nph,0.9,0.8761,17.368936544789918
364,cox_ph_alg_1,rr_nl_nph,0.9,0.8485,16.87566654478991
365,cox_ph_alg_1,rr_nl_nph,0.9,0.8754999999999998,16.752556544789915
366,cox_ph_alg_1,rr_nl_nph,0.9,0.8543999999999999,18.906536128245126
367,cox_ph_alg_1,rr_nl_nph,0.9,0.8671,19.58643512853763
368,cox_ph_alg_1,rr_nl_nph,0.9,0.8803999999999997,18.90007654478992
369,cox_ph_alg_1,rr_nl_nph,0.9,0.8264,18.616586544789914
370,cox_ph_alg_2,rr_nl_nph,0.9,0.9182000000000002,25.460444142254833
371,cox_ph_alg_2,rr_nl_nph,0.9,0.9193999999999999,24.969236046808692
372,cox_ph_alg_2,rr_nl_nph,0.9,0.9181,25.858277446160443
